Timestamp,Item Description,Brand,Lot/Serial #,Expiration,IAR #,IAR Date,Delivery Date,Quantity,Pack Size,Loose,Unit,Total,Location,Supplier/Donor,Manufacturer,Origin,Acquisition Mode,Expiration,Remarks,Condition,Fund Source,Acquisition Cost,Category,User,Status
13:14:40 8/19/2022,Speaker System Stereo Megaoke   ,Sharp,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Functional,Good condition,,8500,,Kristoffer Ian Buñag,
13:43:53 8/19/2022,Table     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in area,,,0,,Kristoffer Ian Buñag,
13:49:47 8/19/2022,Table     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,"Susalo, last date of inventory December 2015",,,0,,Kristoffer Ian Buñag,
13:49:47 8/19/2022,Printer Scanner HR6X slim,,,NOT INDICATED,,,,,,,#N/A,1,Petro,,,,Purchase,,Not found in area,,,,,Kristoffer Ian Buñag,
14:26:25 8/19/2022,Table     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area,,,0,,Kristoffer Ian Buñag,
14:33:39 8/19/2022,Cabinet Filing    ,Corona,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,4 found in the area,,,3751,,Kristoffer Ian Buñag,
14:37:56 8/19/2022,Cabinet     ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,Not found in area,,,0,,Kristoffer Ian Buñag,
14:39:48 8/19/2022,Cabinet Filing    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area,,,2950,,Kristoffer Ian Buñag,
14:50:20 8/19/2022,Cabinet Filing    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area,,,2950,,Kristoffer Ian Buñag,
14:54:1 8/19/2022,Whiteboard  BF-0305   ,Plus Board Fax,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,In use,Good Condition,,0,,Kristoffer Ian Buñag,
14:59:22 8/19/2022,Cabinet Filing    ,Corona,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,4 found in area,,,3750,,Kristoffer Ian Buñag,
15:1:58 8/19/2022,Cabinet Filing    ,Corona,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,4 found in area,,,3750,,Kristoffer Ian Buñag,
15:3:36 8/19/2022,Chair     ,Jambo,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No remarks,,,0,,Kristoffer Ian Buñag,
15:4:48 8/19/2022,Chair     ,Jambo,,NOT INDICATED,,,,0,0,16,,16,,,,,Purchase,NOT INDICATED,17 pcs. No remarks.,,,,,Kristoffer Ian Buñag,
15:7:1 8/19/2022,Chair Executive    ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,No remarks,,,0,,Kristoffer Ian Buñag,
15:19:12 8/19/2022,Table Office    ,,,NOT INDICATED,,,,,,,,1,,,,,Purchase,,No remarks,Good Condition,,0,,Kristoffer Ian Buñag,
15:36:3 8/19/2022,Typewriter     ,Olympia,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"No record, No ARE, No Card. Condemned per Arnel.",,,28820,,Kristoffer Ian Buñag,
15:39:53 8/19/2022,Machine  AL-1240   ,Sharp,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"No record, No ARE, No Card. Condemned.",,,61750,,Kristoffer Ian Buñag,
15:39:53 8/19/2022,Television Set  FXR-22MKII   ,Sony,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"No Record, No ARE, No Card.",,,39490,,Kristoffer Ian Buñag,
15:45:46 8/19/2022,Overhead Projector  HPL-14   ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"No Record, No ARE, No Card. Condemned.",,,11990,,Kristoffer Ian Buñag,
15:45:46 8/19/2022,Speaker System Stereo    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Transfer to Power House.,,,29723,,Kristoffer Ian Buñag,
15:45:46 8/19/2022,Table     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,,,Kristoffer Ian Buñag,
15:45:46 8/19/2022,Table Office    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,,,Kristoffer Ian Buñag,
15:45:46 8/19/2022,Fan Electric    ,Sanyo,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,,,Kristoffer Ian Buñag,
15:45:46 8/19/2022,Fan Electric    ,Sanyo,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,,,Kristoffer Ian Buñag,
15:59:41 8/19/2022,Table     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,0,,Kristoffer Ian Buñag,
15:59:41 8/19/2022,Chair     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,At Doc Lorna's office.,,,,,Kristoffer Ian Buñag,
16:3:46 8/19/2022,Chair     ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,At Doc Lorna's Office.,,,0,,Kristoffer Ian Buñag,
16:11:30 8/19/2022,Chair Monobloc    ,Ruby,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,No Remarks.,,,0,,Kristoffer Ian Buñag,
16:15:41 8/19/2022,Chair Monobloc    ,Ruby,,NOT INDICATED,,,,0,0,149,,149,,,,,Purchase,NOT INDICATED,No Remarks.,,,,,Kristoffer Ian Buñag,
16:16:46 8/19/2022,Chair Monobloc    ,Jambo,,NOT INDICATED,,,,0,0,99,,99,,,,,Purchase,NOT INDICATED,No Remarks.,,,,,Kristoffer Ian Buñag,
8:34:23 8/20/2022,"Printer Laserjet HP1102  Up to 16ppm, 600x600 dpi 8mb memory high speed USB connectivity, power cord & USB connections ",HP,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,0,,Kristoffer Ian Buñag,
8:40:32 8/20/2022,Cabinet Filing    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,5578,,Kristoffer Ian Buñag,
8:40:32 8/20/2022,Bundy Clock  MT-7100   ,Comix,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"Not in use, to be condemned.",,,9500,,Kristoffer Ian Buñag,
8:40:32 8/20/2022,Projector  VS11452  Digital Projector ,Viewsonic PJ506D,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Condemned.,,,49500,,Kristoffer Ian Buñag,
8:40:32 8/20/2022,Speaker System Microphone   boom type ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"Not found in area, condemned.",,,1380,,Kristoffer Ian Buñag,
8:40:32 8/20/2022,Speaker System Microphone   Round base type ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"Not found in area, condemned. ",,,1400,,Kristoffer Ian Buñag,
9:2:59 8/20/2022,Speaker System Microphone   boom type ,,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,"Not found in area, condemned.",,,,,Kristoffer Ian Buñag,
9:5:16 8/20/2022,"Computer Laptop/Mobile D732  Core-i3 Intel Core i3 380M, 2.53Ghz, Processor Intel HM55 Express chipset 2GB, DDRII Memory up to 4GB 500GB Hard disk, Intel HD graphics w/ 128MB dedicated 14"", HD 1366x768 LED backlit 8x, DVD-Super multi drive DL optical drive, Integrated webcam 2 in 1 card reader, Integrated 802.11b/g/n WiFi certified, Integrated Gigabit LAN (WOL) bluetooth. Ports: VGA port 3x USB 2.0 port HDMI with HDCP 2.3kg weight, 6-cell Li-ion battery, with AC adapter carry bag, Microsoft Windows 7 starter pack OEM (License with CD) Windows 7-00172-340-460-825",,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Outdated but still in use.,,,28900,,Kristoffer Ian Buñag,
9:36:54 8/20/2022,"Computer Laptop/Mobile D732  Core-i3 Intel Core i3 380M, 2.53Ghz, Processor Intel HM55 Express chipset 2GB, DDRII Memory up to 4GB 500GB Hard disk, Intel HD graphics w/ 128MB dedicated 14"", HD 1366x768 LED backlit 8x, DVD-Super multi drive DL optical drive, Integrated webcam 2 in 1 card reader, Integrated 802.11b/g/n WiFi certified, Integrated Gigabit LAN (WOL) bluetooth. Ports: VGA port 3x USB 2.0 port HDMI with HDCP 2.3kg weight, 6-cell Li-ion battery, with AC adapter carry bag, Microsoft Windows 7 starter pack OEM (License with CD) Windows 7-00172-340-460-825",,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Outdated but still in use.,,,,,Kristoffer Ian Buñag,
9:39:48 8/20/2022,Speaker System Microphone SY-888S   ,Sony,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Functional (Donation),,,650,,Kristoffer Ian Buñag,
9:39:48 8/20/2022,Speaker System Microphone    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Functional but weak sound.,,,895,,Kristoffer Ian Buñag,
9:46:39 8/20/2022,Speaker System Microphone    ,,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Functional but weak sound.,,,,,Kristoffer Ian Buñag,
9:48:22 8/20/2022,"Printer Inkjet   Pixma iP 2770 Max. print resolution: 5760x1440 dpi, Max. paper size 8.5x44 borde free, Max. paper capacity: 100 sheets, with drivers and manuals with warranty CISS materials and installation ",Canon,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,4450,,Kristoffer Ian Buñag,
9:48:22 8/20/2022,"Printer Laserjet HP1102  free ink cartridge HP1102 600x600dpi, 8mb memory, hi speed USB connectivity with driver and manuals power cord and USB connection. warranty on parts and services",HP,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"Not in use due to roller problem, for condemn. ",,,6740,,Kristoffer Ian Buñag,
9:48:22 8/20/2022,Printer Photocopier   Digital GDI printer color scanner Develop Ineo 160 (16cpm) ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,"Not functional, to be condemned.",,,39375,,Kristoffer Ian Buñag,
10:59:24 8/20/2022,Speaker System Microphone SM58   ,Shure,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Donation. For condemn.,,,900,,Kristoffer Ian Buñag,
11:2:54 8/20/2022,Speaker System Microphone SM58   ,,,NOT INDICATED,,,,0,0,1,,1,,,,,Purchase,NOT INDICATED,Donation. For condemn.,,,,,Kristoffer Ian Buñag,
11:3:24 8/20/2022,Speaker System Stereo KS252   ,Konzert,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,At Petro conference hall.,,,4500,,Kristoffer Ian Buñag,
11:6:43 8/20/2022,Speaker System Stereo KS252   ,Konzert,,NOT INDICATED,,,,0,0,2,,2,,,,,Purchase,NOT INDICATED,At Petro conference hall.,,,,,Kristoffer Ian Buñag,
11:7:31 8/20/2022,Speaker System Stereo    ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Not found in area.,,,0,,Kristoffer Ian Buñag,
11:8:36 8/20/2022,Power Mixer  DSP 800   ,,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Functional,,,13500,,Kristoffer Ian Buñag,
11:10:18 8/20/2022,DVD player    with USB input ,Pioneer,,NOT INDICATED,,,,,,,,1,Petro,,,,Purchase,,Good condition but not in use.,,,4250,,Kristoffer Ian Buñag,
